,Tweet_ID,Tweet_Text,Time_Of_Tweet,Tweet_Location,User_Native,Country,Language,Category,Sub_Category,Latitude,Longitude,Nearest_Assembly_Cord,Nearest_Assembly_Name
17660,17659,Sir @VTankha ji... your sitting minister in Karnataka is murder accused named in dying statement... any comment???… https://t.co/ae17GtIsbq,10/26/2017 15:09,Bengaluru,Bharat,India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
17738,17737,Gearge accused number A1 in CBI report on Police Officer Ganapati's murder / suicide Case?,10/26/2017 15:22,Bengaluru,"Karnataka, India",India,en,Crime,Murder,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
21495,21494,#Kerala  HC rejected anticipatory bail plea of advocate CP Udayabhanu in  connection with the a real estate broker murder case at Chalakudy,10/31/2017 7:12,India,Ahmedabad,India,en,Crime,Murder,6.62251,67.9976,"12.9242,  77.5191",Rajarajeswari Nagar
21581,21580,Oh is @iamsrk murderer in #Ittefaq I think I should watch movie on 1st day 1st show b4 I see some more trolls😂… https://t.co/DPCBU2eoc0,10/31/2017 7:25,Bengaluru South,Bangalore India,India,en,Crime,Murder,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
21788,21787,@karanjohar I'll say whz murderer wt if @akshaykumar says if @BeingSalmanKhan ask to nt reveal den I'll keep quite… https://t.co/0ZKrAy2oAr,10/31/2017 7:57,Bengaluru South,Bangalore India,India,en,Crime,Murder,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
2455,2455,"This video, made me to keep my chocolate to secure, beware of theft. #ChocolatyRobbery https://t.co/IxkPRTuwRp  https://t.co/LtnwUb3JDJ",10/16/2017 9:27,Bengaluru,Bangalore,India,en,Crime,Theft,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
576,576,Death toll rises to 6 in Ejipura blast in #Bengaluru. 4 bodies recovered &amp; search for 2 more bodies underway… https://t.co/MXgPrDI7FI,10/16/2017 5:19,Bengaluru,BENGALURU,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
607,607,Death toll rises to 6 in Ejipura cylinder blast in #Bengaluru. 4 bodies recovered &amp; search for 2 more bodies underw… https://t.co/s454mYuubV,10/16/2017 5:23,Bengaluru,BENGALURU,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
652,652,Death toll rises to 5 in Ejipura cylinder blast in #Bengaluru. 4 bodies recovered &amp; search for 2 more bodies underw… https://t.co/A6KbsLhsE5,10/16/2017 5:30,Bengaluru,BENGALURU,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
2214,2214,Forensic team visits building collapse site at Ejipura. The team is collecting samples from the blast site.… https://t.co/32J1CyKnjd,10/16/2017 8:47,Bengaluru,BENGALURU,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
2772,2772,BBC News - Somalia attack: Death toll rises in Mogadishu blast to over 270. https://t.co/oUG91JIyV8,10/16/2017 10:15,Karnataka,"New Delhi, Hyderabad - India",India,en,Crime,Blast,11.582378,74.050963,"12.9242,  77.5191",Rajarajeswari Nagar
4327,4327,"Unfortunate accident Bangalore. Gas cylinder blast ""causes"" building collapse, kills 7, many injured. Morning",10/16/2017 16:11,Bengaluru,"Bangalore, India",India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
5209,5209,#HelloDiwali    ready for the blast??,10/16/2017 18:56,India,"Bhubaneshwar, Orissa",India,en,Crime,Blast,6.62251,67.9976,"12.9242,  77.5191",Rajarajeswari Nagar
7724,7724,#HimachalPradesh : One dead after a cylinder blast at a food joint in #Shimla's Baba Market.,10/17/2017 17:31,Bengaluru,BENGALURU,India,en,Crime,Blast,12.919037,77.373474,"12.9242,  77.5191",Rajarajeswari Nagar
7890,7890,@SrikarNTR Ah bomb blast episode teesesthe manchi cinema babai,10/17/2017 17:53,Bengaluru South,Guntur (AP) - Bangalore (KA),India,et,Crime,Blast,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
7990,7990,"#MostAwaitedFilmof2017..
Now its no more..As JukeBox blasts,Hope the same at boxoffice too😊
#Mersal
#MersalDiwali… https://t.co/wOC8gyVhv0",10/17/2017 18:10,Andhra Pradesh,,India,en,Crime,Blast,2.62234,76.7608,"12.8984,  77.6179",Bommana Halli
8608,8608,@KicchaSudeep happy deepawali Sudeep Anna. Have a blast... Your loving fan.,10/18/2017 14:01,Bengaluru South,"Vidyaranya Pura, Bengaluru",India,en,Crime,Blast,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
12127,12126,"@sivaramkrish13 @BCCI Yes agree  but 1 big exception, @ABdeVilliers17 blast after SA won the toss n elected to bat… https://t.co/8TSAhmPzR5",10/23/2017 8:39,Bengaluru South,"Bengaluru, India",India,en,Crime,Blast,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
15408,15407,"Vijay 62 - conform with AR murugadhas 
BJP plzzz...🙏  Take   &amp; make a another block blaster 😂😂😂
#Thalapathy62 https://t.co/pEwZjOHJYf",10/25/2017 9:48,Tamil Nadu,Chennai ,India,en,Crime,Blast,8.077,76.23,"12.9242,  77.5191",Rajarajeswari Nagar
21259,21258,"""Yanthara lokapu sundarive"" on 1st hearing  👌👌👌👍👍👍
Mind blasting on earphones
@arrahman instruments over the top...this song enough
#2Point0",10/27/2017 19:38,Bengaluru South,India,India,en,Crime,Blast,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
22882,22881,Prayers for victims of boiler blast at #NTPC power plant in Raebareli,11/1/2017 13:30,Bengaluru South,"Bengaluru, India",India,en,Crime,Blast,12.731936,77.330578,"12.9242,  77.5191",Rajarajeswari Nagar
